CLASSIC50_MAP_V1
# level type id x y
3 0 6 5 -3
3 0 6 4 -3
3 0 6 3 -4
3 0 6 3 -3
3 0 1 -5 0
3 0 1 3 -2
3 0 1 3 4
3 0 1 3 -5
3 1 5 5 5
3 1 5 5 -1
3 1 5 -5 -3
3 1 6 -1 5
3 1 6 -2 4
3 1 1 -4 -2
3 1 1 5 -2
3 1 1 -1 4
3 1 1 -2 5
3 1 1 -2 3
3 1 1 0 3
3 1 1 0 5
3 1 2 -1 3
3 3 3 4 4
3 3 4 -5 3
3 0 10 -1 -3
3 2 3 5 2
4 0 6 0 0
4 0 6 -1 0
4 0 6 -2 0
4 0 6 1 0
4 0 6 2 0
4 0 6 3 0
4 0 6 4 0
4 0 6 5 0
4 0 6 -2 3
4 0 6 -1 2
4 0 6 -2 2
4 0 6 1 2
4 0 6 2 2
4 0 6 3 2
4 0 6 2 3
4 0 6 5 2
4 0 6 2 4
4 0 6 2 5
4 0 6 -2 5
4 0 6 -2 4
4 0 6 -5 2
4 0 6 -3 2
4 0 6 -1 -2
4 0 6 0 -2
4 0 6 1 -2
4 0 6 0 -5
4 0 6 0 -4
4 0 6 0 -3
4 0 6 3 -2
4 0 6 4 -2
4 0 6 4 -5
4 0 6 4 -4
4 0 6 4 -3
4 0 6 -4 -2
4 0 6 -4 -5
4 0 6 -4 -4
4 0 6 -4 -3
4 0 6 -3 -2
4 0 1 -2 1
4 0 1 -4 2
4 0 1 4 2
4 0 1 5 -2
4 0 1 2 -2
4 0 1 -2 -2
4 0 1 -5 -2
4 0 8 5 -5
4 0 7 -5 -5
4 0 2 0 2
4 3 6 4 3
4 3 5 3 1
4 3 4 -4 1
4 3 2 0 1
4 3 1 2 -5
4 3 3 -2 -3
4 3 2 -5 -1
4 3 1 -2 -5
4 3 1 -3 -4
4 3 4 2 -3
4 2 5 4 5
4 2 15 0 5
4 3 1 -3 -1
4 2 1 5 -4
4 1 7 1 -4
4 1 2 -4 5
4 1 1 -3 4
4 1 6 5 4
4 1 5 -5 4
4 1 5 3 -4
4 1 1 -1 -4
4 1 1 -1 -5
4 1 1 -3 -5
4 1 1 3 4
5 1 11 -2 -3
5 1 24 5 -5
5 2 1 -4 -5
5 3 2 5 -1
5 3 3 -3 3
5 3 4 -3 1
5 3 1 0 -2
5 3 6 -4 -1
5 1 1 -5 0
5 1 8 -5 -3
5 1 5 -3 -3
5 0 7 -5 5
5 0 8 -5 -5
5 0 1 -1 5
5 0 12 3 -5
5 0 6 -1 0
5 0 6 -1 1
5 0 6 -1 -1
5 0 6 1 -1
5 0 6 1 1
5 0 6 2 -1
5 0 6 4 -1
5 0 6 3 -1
5 0 6 1 -3
5 0 6 1 -2
5 0 6 1 -4
5 0 6 1 -5
5 0 6 3 -4
5 0 6 3 -3
5 0 6 4 1
5 0 6 4 -3
5 0 6 5 -3
5 0 6 2 1
5 0 6 3 1
5 0 6 1 5
5 0 6 1 2
5 0 6 1 4
5 0 6 1 3
5 0 6 4 2
5 0 6 4 3
5 0 6 4 4
5 0 6 -1 -4
5 0 6 -1 -2
5 0 6 -1 -3
5 0 6 -2 -4
5 0 6 -4 -4
5 0 6 -3 -4
5 0 6 -5 -4
5 0 6 -2 -1
5 0 6 -3 -1
5 0 6 -1 2
5 0 6 -5 -1
5 0 6 -3 2
5 0 6 -4 2
5 0 6 -5 2
5 0 6 -4 4
5 0 6 -4 5
5 0 6 -1 3
5 0 6 -1 4
5 0 1 -4 3
5 0 1 -2 2
5 0 1 4 5
5 0 1 2 -3
5 1 1 -5 1
5 1 1 0 4
5 1 1 2 3
5 1 1 3 3
5 1 1 3 2
5 1 1 2 2
5 1 1 -4 -3
5 3 1 1 0
5 3 1 2 4
5 3 1 3 4
5 3 3 -2 0
5 3 3 0 2
5 3 2 5 4
5 3 2 -2 5
6 0 1 -3 2
6 0 1 -4 2
6 0 1 5 4
6 0 1 -5 -4
6 0 1 4 -2
6 0 1 2 -2
6 0 1 1 -2
6 1 1 -2 5
6 1 1 -3 4
6 1 1 -2 4
6 1 1 3 5
6 1 1 0 0
6 1 5 2 3
6 3 4 -5 -2
6 3 4 1 5
6 3 1 4 5
6 3 2 3 -3
6 3 2 5 -3
6 3 2 -3 0
6 3 2 -2 3
6 3 1 -4 -5
6 3 4 -2 0
6 2 1 -5 4
6 1 8 -2 -3
6 1 5 2 -5
6 1 1 -3 5
6 0 1 -1 2
6 0 8 -5 5
6 0 7 5 -5
6 0 6 -1 1
6 0 6 1 1
6 0 6 -1 -1
6 0 6 1 -1
6 0 6 -2 1
6 0 6 -3 1
6 0 6 -4 1
6 0 6 -3 3
6 0 6 -4 3
6 0 6 -4 4
6 0 6 -4 5
6 0 6 -1 3
6 0 6 -1 4
6 0 6 -1 5
6 0 6 1 2
6 0 6 1 3
6 0 6 1 4
6 0 6 4 4
6 0 6 3 4
6 0 6 2 4
6 0 6 5 1
6 0 6 4 1
6 0 6 3 1
6 0 6 2 1
6 0 6 -5 -1
6 0 6 -2 -1
6 0 6 -3 -1
6 0 6 -4 -1
6 0 6 -1 -4
6 0 6 -1 -3
6 0 6 -1 -2
6 0 6 -2 -4
6 0 6 -3 -4
6 0 6 -4 -4
6 0 6 4 -1
6 0 6 3 -1
6 0 6 2 -1
6 0 6 1 -3
6 0 6 2 -3
6 0 6 1 -5
6 0 6 1 -4
6 0 6 4 -3
6 0 6 4 -5
6 0 6 4 -4
6 1 5 3 -5
6 3 3 5 2
6 3 6 3 0
6 3 5 -1 -5
6 3 5 4 3
6 3 5 2 0
6 3 3 -4 -3
6 2 7 2 2
6 2 4 -2 -2
7 0 1 1 -1
7 0 1 -1 -1
7 0 1 -3 1
7 0 1 -3 -1
7 0 1 -5 -1
7 0 1 -5 1
7 0 1 5 1
7 0 1 5 -1
7 0 2 -1 1
7 0 1 1 1
7 2 8 0 5
7 1 7 -3 5
7 1 6 1 -5
7 1 5 3 3
7 1 1 -1 -4
7 3 6 3 -1
7 3 5 3 1
7 3 4 1 -4
7 3 2 5 4
7 3 1 5 5
7 3 3 -1 -3
7 2 1 5 -4
7 0 8 5 -5
7 0 7 -5 5
7 0 6 0 1
7 0 6 0 2
7 0 6 0 3
7 0 6 -2 1
7 0 6 -2 2
7 0 6 -2 3
7 0 6 -2 5
7 0 6 -2 4
7 0 6 -4 3
7 0 6 -4 2
7 0 6 -4 1
7 0 6 -4 4
7 0 6 -4 5
7 0 6 2 5
7 0 6 2 4
7 0 6 2 1
7 0 6 2 2
7 0 6 2 3
7 0 6 4 3
7 0 6 4 2
7 0 6 4 1
7 0 6 4 4
7 0 6 4 5
7 0 6 4 -1
7 0 6 4 -2
7 0 6 4 -5
7 0 6 4 -4
7 0 6 4 -3
7 0 6 2 -3
7 0 6 2 -4
7 0 6 2 -5
7 0 6 2 -2
7 0 6 2 -1
7 0 6 0 -3
7 0 6 0 -4
7 0 6 0 -5
7 0 6 0 -2
7 0 6 0 -1
7 0 6 -2 -1
7 0 6 -2 -2
7 0 6 -2 -5
7 0 6 -2 -4
7 0 6 -2 -3
7 0 6 -4 -3
7 0 6 -4 -4
7 0 6 -4 -2
7 0 6 -4 -1
7 3 2 1 -3
7 3 2 -4 -5
7 3 1 5 3
7 3 1 -3 -4
7 3 1 -5 -4
7 3 2 -1 3
7 3 3 -3 3
7 3 4 -2 0
7 3 6 -4 0
7 3 6 1 3
7 1 1 -1 -5
7 1 1 3 -5
7 1 1 3 -4
7 1 1 3 4
7 1 1 3 5
7 1 5 -3 4
7 1 6 3 -3
8 0 2 -3 -5
8 0 7 0 5
8 0 8 -5 5
8 0 1 -3 5
8 0 6 0 -1
8 2 1 -5 4
8 0 6 0 0
8 0 6 0 1
8 0 6 -1 1
8 0 6 -2 1
8 0 6 -3 1
8 0 6 -4 1
8 0 6 -4 2
8 0 6 -4 3
8 0 6 -2 3
8 0 6 -1 3
8 0 6 -3 3
8 0 6 2 3
8 0 6 1 3
8 0 6 2 4
8 0 6 2 5
8 0 6 -2 4
8 0 6 -3 4
8 0 6 -2 -1
8 0 6 -3 -1
8 0 6 -5 -1
8 0 6 -4 -1
8 0 6 -3 -3
8 0 6 -4 -3
8 0 6 -2 -3
8 0 6 -1 -3
8 0 6 -3 -4
8 0 6 0 -5
8 0 6 0 -4
8 0 6 0 -3
8 0 6 4 -3
8 0 6 3 -3
8 0 6 1 -3
8 0 6 2 -3
8 0 6 3 -4
8 0 6 5 -1
8 0 6 3 -1
8 0 6 2 -1
8 0 6 2 0
8 0 6 2 1
8 0 6 2 2
8 0 6 3 2
8 0 6 5 2
8 0 1 -2 5
8 0 1 -5 3
8 0 1 0 3
8 0 1 -1 -1
8 0 1 -5 -3
8 0 1 5 -3
8 0 1 3 -5
8 0 1 4 -1
8 1 3 4 4
8 1 5 -5 1
8 1 6 3 3
8 1 2 1 -4
8 1 1 -3 2
8 1 8 -1 -5
8 1 7 -2 -4
8 0 4 4 2
8 3 7 3 1
8 3 2 -2 0
8 3 1 -3 0
8 3 3 -4 -5
8 3 5 0 -2
8 3 6 4 -5
8 3 4 1 1
8 3 4 2 -2
8 3 5 5 -4
8 3 3 1 -1
8 3 2 -4 0
8 3 1 -5 -4
8 3 7 5 1
8 3 1 1 4
8 1 1 -2 2
8 1 1 -1 2
8 1 1 -1 -4
8 1 1 -2 -5
8 1 1 1 -5
8 1 1 3 5
8 1 1 5 5
8 1 5 2 -4
8 1 5 5 3
9 3 6 -5 3
9 3 2 1 0
9 3 1 3 5
9 3 4 5 -3
9 3 5 -1 -4
9 3 3 -3 1
9 1 7 0 1
9 1 8 -5 1
9 1 1 1 2
9 1 5 5 5
9 0 2 -3 -5
9 0 1 -2 5
9 0 7 -5 -5
9 0 8 0 5
9 0 6 0 0
9 0 6 -1 0
9 0 6 -2 0
9 0 6 -3 0
9 0 6 -5 0
9 0 6 -4 0
9 0 6 0 -1
9 0 6 0 -2
9 0 6 0 -3
9 0 6 0 -4
9 0 6 -3 -3
9 0 6 -4 -3
9 0 6 -3 -4
9 0 6 -3 -2
9 0 6 -2 -3
9 0 6 -2 2
9 0 6 -3 3
9 0 6 -2 3
9 0 6 -2 4
9 0 6 -1 3
9 0 6 -4 3
9 0 6 3 3
9 0 6 2 4
9 0 6 2 3
9 0 6 1 3
9 0 6 4 3
9 0 6 2 1
9 0 6 3 1
9 0 6 5 1
9 0 6 2 0
9 0 6 2 -1
9 0 6 2 -3
9 0 6 2 -2
9 0 6 2 -4
9 0 6 3 -2
9 0 6 4 -2
9 0 6 4 -1
9 0 1 2 5
9 0 1 -2 1
9 0 1 2 2
9 0 1 3 2
9 0 1 5 -2
9 0 1 2 -5
9 0 1 0 -5
9 0 1 -1 -3
9 0 1 -3 -1
9 0 1 -5 -3
9 0 2 0 3
9 1 5 -4 -4
9 1 5 5 -5
9 1 1 -1 2
9 1 1 -4 4
9 1 1 -4 2
9 1 1 -1 -1
9 1 1 -5 -1
9 1 1 3 -3
9 3 5 4 -4
9 3 4 3 -5
9 3 5 -3 5
9 3 1 4 4
9 3 6 5 0
9 3 6 -2 -1
9 3 6 -5 -2
9 3 3 1 -4
9 1 25 3 -1
9 2 1 0 4
9 0 12 4 1
10 3 6 -4 2
10 3 4 -2 -5
10 3 5 -5 0
10 1 7 4 0
10 0 6 -1 -1
10 0 6 -1 0
10 0 6 -2 0
10 0 6 -3 1
10 0 6 -5 1
10 0 6 -4 1
10 0 6 1 -1
10 0 6 -1 -2
10 0 6 -1 -3
10 0 6 1 -3
10 0 6 -2 -2
10 0 6 -4 -3
10 0 6 -2 -4
10 0 6 -2 -1
10 0 6 -2 -3
10 0 6 -2 1
10 0 6 -3 4
10 0 6 -2 3
10 0 6 -2 4
10 0 6 -1 3
10 0 6 -5 4
10 0 6 3 4
10 0 6 2 4
10 0 6 2 3
10 0 6 1 3
10 0 6 4 4
10 0 6 2 1
10 0 6 3 1
10 0 6 4 1
10 0 6 5 1
10 0 6 2 0
10 0 6 2 -1
10 0 6 2 -3
10 0 6 2 -2
10 0 6 2 -4
10 0 6 1 -2
10 0 6 4 -4
10 0 6 4 -3
10 0 1 3 -3
10 0 1 -3 -3
10 0 1 -5 -3
10 3 5 3 0
10 3 4 2 -5
10 3 5 -5 3
10 3 6 4 -1
10 3 6 -4 -1
10 0 6 -4 -4
10 0 6 -4 -5
10 0 6 4 -5
10 3 5 5 0
10 3 5 -3 0
10 1 8 -4 0
10 0 6 1 0
10 0 1 5 -3
10 0 6 -4 4
10 0 6 5 4
10 3 5 -4 3
10 3 5 -3 3
10 3 6 4 2
10 3 5 3 3
10 3 5 4 3
10 3 5 5 3
10 2 1 -5 -4
10 1 6 5 -5
10 0 4 -2 2
10 0 3 0 -3
10 0 4 2 2
10 3 8 0 2
10 0 13 0 1
10 0 8 -5 -5
11 2 1 0 -4
11 1 5 4 5
11 1 6 2 -5
11 1 1 5 5
11 1 7 -1 5
11 1 27 -4 4
11 0 6 1 0
11 0 6 -2 0
11 0 6 -1 0
11 0 6 -2 1
11 0 6 -2 2
11 0 6 -2 3
11 0 6 -2 5
11 0 6 -2 4
11 0 6 -3 2
11 0 6 -5 2
11 0 6 1 2
11 0 6 1 4
11 0 6 1 3
11 0 6 0 3
11 0 6 3 4
11 0 6 3 5
11 0 6 3 2
11 0 6 4 2
11 0 6 2 2
11 0 6 3 -2
11 0 6 4 -1
11 0 6 4 -2
11 0 6 4 0
11 0 6 4 1
11 0 6 1 -2
11 0 6 2 -2
11 0 6 0 -2
11 0 6 -1 -2
11 0 6 -3 -2
11 0 6 -2 -2
11 0 6 -5 -2
11 0 6 -1 -4
11 0 6 -1 -5
11 0 6 1 -4
11 0 6 1 -5
11 0 6 2 -4
11 0 6 4 -4
11 0 6 4 -5
11 0 1 1 -1
11 0 1 1 1
11 0 1 -1 3
11 0 1 1 5
11 0 1 3 3
11 1 5 3 0
11 3 11 -3 1
11 3 11 2 1
11 3 9 2 -1
11 3 9 5 2
11 3 12 -1 1
11 3 10 3 -5
11 0 1 3 -4
11 1 6 -5 -1
11 3 10 -2 -1
11 3 3 0 4
11 1 1 -5 -4
11 1 1 -5 -5
11 1 1 -4 -5
11 1 1 -3 -5
11 1 1 -2 -5
11 3 10 -4 -3
11 3 10 5 -2
11 0 7 5 -5
11 0 8 0 -5
11 0 6 0 0
11 0 4 -4 2
11 0 2 -4 -2
11 0 1 -1 -3
11 3 9 -2 -3
11 3 12 2 4
11 3 11 -5 1
11 3 10 0 2
11 3 3 4 -3
12 0 12 4 5
12 0 6 2 -2
12 1 7 0 5
12 1 6 0 -1
12 1 2 -4 -2
12 1 8 4 0
12 1 1 -5 -1
12 1 5 -1 -4
12 0 8 5 -5
12 0 7 -5 -5
12 0 2 3 -2
12 0 1 0 2
12 2 1 4 -5
12 3 9 3 -3
12 3 3 2 -5
12 3 10 -3 4
12 3 11 1 3
12 3 12 0 1
12 0 6 -2 0
12 0 6 2 1
12 0 6 -2 2
12 0 6 -2 -1
12 0 6 2 -1
12 0 6 -1 2
12 0 6 2 2
12 0 6 2 3
12 0 6 1 2
12 0 1 -2 1
12 0 6 2 5
12 0 6 2 4
12 0 6 4 2
12 0 6 3 2
12 0 6 4 4
12 0 6 5 4
12 0 12 5 5
12 0 6 4 -2
12 0 1 5 -2
12 0 1 2 0
12 0 6 -2 3
12 0 6 -2 4
12 0 6 -2 5
12 0 6 0 4
12 0 6 -3 2
12 0 6 -4 4
12 0 6 -5 4
12 0 12 -4 5
12 0 6 -4 2
12 0 1 -5 2
12 0 6 -3 0
12 0 6 -4 0
12 0 6 -5 0
12 0 6 0 -2
12 0 6 1 -2
12 0 6 -1 -2
12 0 6 -2 -2
12 0 6 -2 -3
12 0 6 -2 -4
12 0 6 -5 -4
12 0 6 -4 -4
12 0 6 2 -3
12 0 6 2 -4
12 0 6 3 -4
12 0 6 5 -4
12 3 12 4 3
12 3 12 -3 -3
12 0 1 -3 -4
12 3 11 -1 3
12 3 11 1 0
12 3 11 -4 1
12 3 9 5 -1
12 3 10 5 1
12 3 3 -2 -5
12 1 5 1 -4
12 1 5 3 1
12 1 1 -4 -1
12 1 1 -5 -2
12 1 1 -1 5
12 1 1 1 5
12 1 1 3 -1
12 2 10 5 5
12 2 9 -5 5
12 2 16 0 -3
13 0 1 0 -4
13 1 32 0 1
13 2 1 -4 -5
13 0 7 5 -5
13 0 8 -5 -5
13 0 15 0 0
13 0 6 -1 0
13 0 6 -1 1
13 0 6 0 2
13 0 6 0 3
13 0 6 -1 2
13 0 6 -1 3
13 0 6 1 3
13 0 6 1 2
13 0 6 1 2
13 0 6 1 3
13 0 6 1 1
13 0 15 0 -1
13 0 6 -1 -1
13 0 6 1 0
13 0 6 1 -1
13 0 6 2 2
13 0 6 2 2
13 0 6 2 1
13 0 6 -2 1
13 0 6 -2 2
13 0 6 -2 2
13 0 15 -3 -2
13 0 15 -2 -2
13 0 15 -2 -1
13 0 15 -3 -1
13 0 15 3 1
13 0 15 3 0
13 0 15 3 -1
13 0 15 2 -1
13 0 6 -2 0
13 0 15 3 -2
13 0 15 2 -2
13 0 6 2 0
13 0 15 -1 -2
13 0 15 0 -2
13 0 15 1 -2
13 0 15 -3 1
13 0 15 -3 2
13 0 15 -3 3
13 0 15 -3 0
13 0 15 -2 3
13 0 15 2 3
13 0 15 3 3
13 0 15 3 2
13 0 6 1 -4
13 0 6 2 -4
13 0 15 -4 -2
13 0 15 -4 -1
13 0 15 -4 0
13 0 15 -4 3
13 0 15 -4 2
13 0 15 -4 1
13 0 15 -5 1
13 0 15 -5 2
13 0 15 -5 3
13 0 15 -5 0
13 0 15 -5 -1
13 0 15 -5 -2
13 0 15 5 1
13 0 15 5 2
13 0 15 5 3
13 0 15 5 0
13 0 15 5 -1
13 0 15 5 -2
13 0 15 4 -2
13 0 15 4 -1
13 0 15 4 0
13 0 15 4 3
13 0 15 4 2
13 0 15 4 1
13 0 15 -3 -3
13 0 15 -2 -3
13 0 15 2 -3
13 0 15 3 -3
13 0 15 0 -3
13 0 15 -1 -3
13 0 15 1 -3
13 0 15 -4 -3
13 0 15 -5 -3
13 0 15 4 -3
13 0 15 5 -3
13 0 15 -3 5
13 0 15 -2 5
13 0 15 2 5
13 0 15 3 5
13 0 15 0 5
13 0 15 -1 5
13 0 15 1 5
13 0 15 -4 5
13 0 15 -5 5
13 0 15 4 5
13 0 15 5 5
13 0 15 5 4
13 0 15 4 4
13 0 15 -5 4
13 0 15 -4 4
13 0 15 1 4
13 0 15 -1 4
13 0 15 0 4
13 0 15 3 4
13 0 15 2 4
13 0 15 -2 4
13 0 15 -3 4
13 0 6 3 -4
13 0 6 4 -4
13 0 6 5 -4
13 0 6 -5 -4
13 0 6 -4 -4
13 0 6 -2 -4
13 0 6 -3 -4
13 0 6 -1 -4
14 1 3 -5 3
14 3 11 -5 -3
14 3 9 -1 4
14 3 12 -2 -2
14 3 14 0 1
14 3 10 2 1
14 3 13 -5 5
14 2 1 5 -4
14 0 7 0 -5
14 0 8 5 -5
14 1 5 1 5
14 1 8 -1 5
14 1 2 -5 -5
14 1 1 0 5
14 0 16 -5 3
14 0 12 0 -3
14 0 2 -1 2
14 0 1 0 0
14 0 6 -1 0
14 0 6 1 0
14 0 1 0 -2
14 0 1 3 -3
14 0 6 2 -3
14 0 6 1 -3
14 0 6 -1 -3
14 0 6 4 -3
14 0 6 -2 -3
14 0 6 -2 -4
14 0 1 -2 -5
14 0 6 2 -4
14 0 6 2 -5
14 0 2 -4 2
14 0 1 -5 -1
14 0 1 5 -1
14 0 1 4 3
14 0 6 5 -3
14 0 6 -5 2
14 0 6 -3 2
14 0 6 -2 2
14 0 6 -2 3
14 0 6 -2 4
14 0 6 -2 5
14 0 6 0 2
14 0 6 0 3
14 0 6 0 4
14 0 6 2 2
14 0 6 2 3
14 0 6 2 4
14 0 6 2 5
14 0 1 1 2
14 0 6 3 3
14 0 6 5 3
14 0 6 3 -1
14 0 6 4 -1
14 0 6 2 0
14 0 6 2 -1
14 0 6 -2 -1
14 0 6 -2 0
14 0 1 -3 -1
14 0 6 -4 -1
14 0 6 -4 -2
14 0 6 -4 -3
14 0 6 -4 -5
14 0 6 -4 -4
14 1 1 3 5
14 1 1 4 5
14 1 1 5 5
14 1 1 5 4
14 1 5 -5 1
14 1 5 3 0
14 1 5 -1 -4
14 3 13 -3 5
14 3 13 -4 4
14 3 13 1 4
14 3 13 4 2
14 3 10 -2 1
14 3 12 5 0
14 3 9 2 -2
14 3 9 4 -2
14 3 11 -3 -3
14 3 9 -4 0
15 1 8 -5 5
15 1 6 5 -2
15 1 2 -3 0
15 1 1 -3 1
15 3 3 4 -4
15 3 12 -5 4
15 3 13 -4 5
15 3 9 5 4
15 3 11 -4 -5
15 3 10 -5 -4
15 0 8 0 -5
15 0 7 0 5
15 2 1 0 -4
15 0 1 -2 5
15 0 6 -2 0
15 0 6 2 0
15 0 6 -2 2
15 0 6 2 2
15 0 6 2 -2
15 0 6 -2 -2
15 0 6 -2 -1
15 0 6 2 -1
15 0 6 2 1
15 0 6 -2 1
15 0 6 -2 3
15 0 6 -1 3
15 0 6 1 3
15 0 6 2 3
15 0 6 2 4
15 0 6 -2 4
15 0 6 2 5
15 0 6 3 3
15 0 6 4 3
15 0 6 2 -3
15 0 6 1 -3
15 0 6 -1 -3
15 0 6 -2 -3
15 0 6 -2 -4
15 0 6 -2 -5
15 0 6 2 -4
15 0 6 4 -3
15 0 6 5 -3
15 0 6 4 -2
15 0 6 4 -1
15 0 6 4 0
15 0 6 -4 -4
15 0 6 -4 -2
15 0 6 -4 0
15 0 6 -4 1
15 0 6 -4 -1
15 0 6 -4 2
15 0 6 -3 2
15 0 1 -5 2
15 0 1 -4 -3
15 0 1 2 -5
15 0 1 3 -3
15 0 1 3 0
15 0 1 5 3
15 3 3 3 -5
15 3 9 -3 3
15 3 9 -5 -1
15 3 10 -3 -4
15 3 10 3 2
15 3 10 4 1
15 3 11 5 0
15 1 1 -3 -1
15 1 13 0 1
15 0 5 0 3
15 2 11 5 -5
15 3 15 0 1
15 2 14 3 5
16 0 6 -2 2
16 0 6 -3 2
16 0 6 -2 3
16 0 6 -2 1
16 0 6 -4 2
16 0 6 -5 2
16 0 6 3 2
16 0 6 2 2
16 0 6 1 2
16 0 6 2 3
16 0 6 2 1
16 0 6 5 2
16 0 6 2 5
16 0 6 -2 5
16 0 6 -5 -2
16 0 6 2 -2
16 0 6 2 0
16 0 6 2 -1
16 0 6 -1 -2
16 0 6 -2 -2
16 0 6 -3 -2
16 0 6 -2 -1
16 0 6 -2 -3
16 0 6 -2 -5
16 0 6 1 -2
16 0 6 2 -3
16 0 6 3 -2
16 0 6 5 -2
16 0 6 2 -5
16 0 1 -2 4
16 0 6 -1 2
16 0 1 2 4
16 0 1 4 2
16 0 1 4 -2
16 0 1 0 -2
16 0 1 -2 -4
16 0 1 2 -4
16 0 1 -2 0
16 0 6 5 -4
16 0 6 4 -4
16 3 12 -1 3
16 3 13 0 0
16 3 11 -4 4
16 3 9 -4 -3
16 3 14 -3 0
16 3 10 -4 5
16 2 1 0 4
16 1 2 5 -1
16 1 1 -5 5
16 1 8 -5 -1
16 1 7 -5 1
16 1 5 -5 0
16 0 8 0 5
16 0 7 0 -5
16 0 2 0 2
16 0 12 -4 -2
16 0 12 4 -5
16 0 12 5 -5
16 1 1 -5 3
16 1 1 -5 4
16 1 1 -4 1
16 1 1 -4 -1
16 1 1 1 -1
16 1 1 1 3
16 1 5 -1 1
16 1 5 5 3
16 3 10 -4 3
16 3 10 5 5
16 3 10 -1 -3
16 3 10 1 -3
16 3 10 3 -1
16 3 11 4 -3
16 3 9 3 4
16 3 12 4 1
16 2 18 5 -5
